date,gross_equity,net_equity
2020-10-07 00:00:00+00:00,99865.23636338256,96184.51234797307
2020-10-08 00:00:00+00:00,99851.03914251195,96170.83839279243
2020-10-09 00:00:00+00:00,99818.43236146716,96139.43339693765
2020-10-10 00:00:00+00:00,99842.09076908676,96162.21982876003
2020-10-11 00:00:00+00:00,99798.58941597985,96120.32180110364
2020-10-12 00:00:00+00:00,99836.45934619743,96156.79596271655
2020-10-13 00:00:00+00:00,99838.48739186076,96158.74926088368
2020-10-14 00:00:00+00:00,99825.76854499374,96146.49919140922
2020-10-15 00:00:00+00:00,99832.3620730336,95864.41020480618
2020-10-16 00:00:00+00:00,99820.95360439605,95853.455178855
2020-10-17 00:00:00+00:00,99817.80372793961,95850.43049785533
2020-10-18 00:00:00+00:00,99808.97892174621,95841.95644371763
2020-10-19 00:00:00+00:00,99798.23449870964,95831.63907011246
2020-10-20 00:00:00+00:00,99816.15503461887,95848.84733374382
2020-10-21 00:00:00+00:00,99824.2629921881,95856.63303122908
2020-10-22 00:00:00+00:00,99811.45590278001,95844.33497429593
2020-10-23 00:00:00+00:00,99830.37242011966,95862.49963293204
2020-10-24 00:00:00+00:00,99837.49001012465,95869.33432614912
2020-10-25 00:00:00+00:00,99854.67866679472,95885.83979992209
2020-10-26 00:00:00+00:00,99868.21722245944,95898.84025014557
2020-10-27 00:00:00+00:00,99852.69924166265,95883.93904931487
2020-10-28 00:00:00+00:00,99842.5361732557,95874.17992373204
2020-10-29 00:00:00+00:00,99858.41867144922,95889.43115379695
2020-10-30 00:00:00+00:00,99871.57358637692,95902.06321152503
2020-10-31 00:00:00+00:00,99872.15324157335,95902.61982766006
2020-11-01 00:00:00+00:00,99875.48648900699,95905.82059134687
2020-11-02 00:00:00+00:00,99901.93425576875,95931.21716124867
2020-11-03 00:00:00+00:00,99891.14587549132,95920.85757753368
2020-11-04 00:00:00+00:00,99903.04036206042,95932.27930407564
2020-11-05 00:00:00+00:00,99900.0086062407,95929.36804887235
2020-11-06 00:00:00+00:00,99896.66831053255,95926.16051705278
2020-11-07 00:00:00+00:00,99919.5525355648,95948.13518228313
2020-11-08 00:00:00+00:00,99936.9912789487,95964.8808027863
2020-11-09 00:00:00+00:00,99954.19283449327,95981.39866275318
2020-11-10 00:00:00+00:00,99981.19466865774,96007.32727801256
2020-11-11 00:00:00+00:00,99982.60910165861,96008.68549274962
